"run","channel","phot_rate","phot_r2","phot_bg_rate_run","phot_rate_bg_adj_run","phot_bg_rate_channel","phot_rate_bg_adj_channel","phot_bg_rate_mean","phot_rate_bg_adj_mean","Date","id","treatment","RLC_start","RLC_end","RLC","Respirometry","wet_weight_g","whole_anemone","note","date","time-resp-end","min-D-L","filename","ext","notes","qaqc_phot_rate","qaqc_phot_r2"
3,7,0.0104493137863623,0.86,0.0180761800129892,-0.00762686622662686,0.0278149254237819,-0.0173656116374195,-0.0196525144835521,-0.00760314382538213,"26Apr2024","PVC_8","PVC_0.1_mgL",143,155,"complete","complete",1.42,"yes","healthy","26Apr2024",1610,33,"3_anemone-PVC-PP-26APR2024_O2",".csv","stir bar stalled, restarted 50mins in",NA,NA
4,1,0.0163976586498736,0.973,0.0119121020879171,0.00448555656195649,0.0119121020879171,0.00448555656195649,-0.0196525144835521,-0.00165479896187088,NA,"blank","blank",NA,NA,NA,NA,NA,NA,NA,"26Apr2024",1740,35,"4_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
4,2,-0.00668490200704127,0.92,0.0119121020879171,-0.0185970040949584,0.0166314092897948,-0.023316311296836,-0.0196525144835521,-0.0247373596187858,"26Apr2024","Control_1","Control",474,486,"complete","complete",0.84,"yes","healthy","26Apr2024",1740,35,"4_anemone-PVC-PP-26APR2024_O2",".csv",NA,0.0225133284811407,0.981
4,3,0.0244502365992926,0.982,0.0119121020879171,0.0125381345113755,0.0248765099814239,-0.000426273382131279,-0.0196525144835521,0.00639777898754815,"26Apr2024","PVC_15","PVC_1_mgL",212,224,"complete","complete",1.7,"yes","healthy","26Apr2024",1740,35,"4_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
4,4,0.0176795610583427,0.979,0.0119121020879171,0.00576745897042564,0.0126786711484261,0.00500088990991666,-0.0196525144835521,-0.000372896553401732,"26Apr2024","PVC_10","PVC_0.1_mgL",117,129,"complete","complete",1.31,"yes","healthy","26Apr2024",1740,35,"4_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
4,5,0.00982588539887677,0.953,0.0119121020879171,-0.00208621668904034,0.0113309499772094,-0.00150506457833267,-0.0196525144835521,-0.00822657221286771,"26Apr2024","PP(A)_12","PP_A_1_mgL",765,777,"complete","complete",0.49,"yes","healthy","26Apr2024",1740,35,"4_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
4,7,0.00912893206375324,0.904,0.0119121020879171,-0.00278317002416387,0.0278149254237819,-0.0186859933600287,-0.0196525144835521,-0.00892352554799124,"26Apr2024","PP(A)_2","PP_A_0.01_mgL",565,577,"complete","complete",0.48,"yes","healthy","26Apr2024",1740,35,"4_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
5,1,0.0296090861347748,0.993,0.0208604738170509,0.00874861231772395,0.0119121020879171,0.0176969840468577,-0.0196525144835521,0.0115566285230303,"26Apr2024","PP(A)_7","PP_A_0.1_mgL",680,692,"complete","complete",1.28,"yes","healthy","26Apr2024",1910,30,"5_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
5,2,0.0267130402493382,0.995,0.0208604738170509,0.00585256643228731,0.0166314092897948,0.0100816309595434,-0.0196525144835521,0.0086605826375937,"26Apr2024","PVC_2","PVC_0.01_mgL",81,93,"complete","complete",1.56,"yes","healthy","26Apr2024",1910,30,"5_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
5,3,0.0219694135113973,0.971,0.0208604738170509,0.00110893969434639,0.0248765099814239,-0.00290709647002664,-0.0196525144835521,0.00391695589965278,NA,"blank","blank",NA,NA,NA,NA,NA,NA,NA,"26Apr2024",1910,30,"5_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
5,4,0.0049748394122257,0.822,0.0208604738170509,-0.0158856344048252,0.0126786711484261,-0.00770383173620038,-0.0196525144835521,-0.0130776181995188,"26Apr2024","PVC_16","PVC_10_mgL",228,240,"complete","complete",0.51,"yes","stopped reading partway though. started over immediately after, healthy","26Apr2024",1910,30,"5_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
5,5,0.00595093148074722,0.688,0.0208604738170509,-0.0149095423363036,0.0113309499772094,-0.00538001849646222,-0.0196525144835521,-0.0121015261309973,"26Apr2024","PP(A)_19","PP_A_10_mgL",873,885,"complete","complete",1.18,"yes","healthy","26Apr2024",1910,30,"5_anemone-PVC-PP-26APR2024_O2",".csv",NA,0.0146436895895698,0.953
5,7,0.0136888002206277,0.959,0.0208604738170509,-0.00717167359642318,0.0278149254237819,-0.0141261252031542,-0.0196525144835521,-0.00436365739111679,"26Apr2024","PP(A)_24","PP_A_100_mgL",954,966,"complete","complete",3.59,"yes","healthhy","26Apr2024",1910,30,"5_anemone-PVC-PP-26APR2024_O2",".csv","anemone tentacle contacted probe",NA,NA
6,1,0.00265227391278892,0.396,0.0169392069328792,-0.0142869330200903,0.0119121020879171,-0.00925982817512819,-0.0196525144835521,-0.0154001836989556,"26Apr2024","PVC_25","PVC_100_mgL",327,339,"complete","complete",0.98,"yes","healthy","26Apr2024",2040,31,"6_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
6,2,0.0239217598433486,0.986,0.0169392069328792,0.00698255291046938,0.0166314092897948,0.00729035055355379,-0.0196525144835521,0.00586930223160408,"26Apr2024","PVC_18","PVC_10_mgL",254,266,"complete","complete",0.68,"yes","healthy","26Apr2024",2040,31,"6_anemone-PVC-PP-26APR2024_O2",".csv","temp probe popped out at 50 mins",NA,NA
6,3,0.0337531421135693,0.988,0.0169392069328792,0.0168139351806902,0.0248765099814239,0.00887663213214544,-0.0196525144835521,0.0157006845018249,"26Apr2024","Control_5","Control",526,538,"complete","complete",1.49,"yes","healthy","26Apr2024",2040,31,"6_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
6,4,0.0223430674117482,0.993,0.0169392069328792,0.00540386047886905,0.0126786711484261,0.00966439626332215,-0.0196525144835521,0.00429060980000375,"26Apr2024","PVC_4","PVC_0.01_mgL",55,67,"complete","complete",1.19,"yes","healthy","26Apr2024",2040,31,"6_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
6,5,0.00993623263387091,0.971,0.0169392069328792,-0.00700297429900827,0.0113309499772094,-0.00139471734333853,-0.0196525144835521,-0.00811622497787357,NA,"blank","blank",NA,NA,NA,NA,NA,NA,NA,"26Apr2024",2040,31,"6_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
6,7,0.0163429327894782,0.989,0.0169392069328792,-0.000596274143400983,0.0278149254237819,-0.0114719926343037,-0.0196525144835521,-0.00170952482226628,"26Apr2024","PP(A)_13","PP_A_1_mgL",778,790,"complete","complete",0.85,"yes","weird RLC, healthy","26Apr2024",2040,31,"6_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
7,1,0.00831532042971564,0.916,0.0303128936888377,-0.0219975732591221,0.0119121020879171,-0.00359678165820147,-0.0196525144835521,-0.00973713718202884,"26Apr2024","PVC_12","PVC_1_mgL",176,188,"complete","complete",1.21,"yes","healthy","26Apr2024",2210,33,"7_anemone-PVC-PP-26APR2024_O2",".csv",NA,0.0058981941928086,0.884
7,2,0.0143820672582165,0.972,0.0303128936888377,-0.0159308264306212,0.0166314092897948,-0.00224934203157822,-0.0196525144835521,-0.00367039035352793,"26Apr2024","PVC_9","PVC_0.1_mgL",130,142,"complete","complete",2.11,"yes","healthy","26Apr2024",2210,33,"7_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
7,3,-0.000476481043718751,0.097,0.0303128936888377,-0.0307893747325565,0.0248765099814239,-0.0253529910251427,-0.0196525144835521,-0.0185289386554632,"26Apr2024","PP(A)_20","PP_A_10_mgL",886,898,"complete","complete",1.29,"yes","healthy","26Apr2024",2210,33,"7_anemone-PVC-PP-26APR2024_O2",".csv",NA,0.0304746169802102,0.989
7,4,0.000420343043449481,0.0331,0.0303128936888377,-0.0298925506453882,0.0126786711484261,-0.0122583281049766,-0.0196525144835521,-0.017632114568295,"26Apr2024","PP(A)_8","PP_A_0.1_mgL",693,705,"complete","complete",1.15,"yes","heallthy","26Apr2024",2210,33,"7_anemone-PVC-PP-26APR2024_O2",".csv",NA,0.019253167385558,0.904
7,5,0.00812631251086607,0.98,0.0303128936888377,-0.0221865811779716,0.0113309499772094,-0.00320463746634337,-0.0196525144835521,-0.00992614510087841,"26Apr2024","PP(A)_3","PP_A_0.01_mgL",610,622,"complete","complete",1.25,"yes","healthy","26Apr2024",2210,33,"7_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
7,7,0.0157397262537195,0.982,0.0303128936888377,-0.0145731674351182,0.0278149254237819,-0.0120751991700624,-0.0196525144835521,-0.00231273135802494,NA,"blank","blank",NA,NA,NA,NA,NA,NA,NA,"26Apr2024",2210,33,"7_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
8,1,0.0130920057559267,0.937,0.00572269302153969,0.00736931273438701,0.0119121020879171,0.0011799036680096,-0.0196525144835521,-0.00496045185581777,"26Apr2024","PVC_17","PVC_10_mgL",241,253,"complete","complete",0.55,"yes","healthy","26Apr2024",2345,30,"8_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
8,2,-0.0142836398753686,0.917,0.00572269302153969,-0.0200063328969083,0.0166314092897948,-0.0309150491651634,-0.0196525144835521,-0.0323360974871131,"26Apr2024","PP(A)_22","PP_A_100_mgL",923,935,"complete","complete",0.96,"yes","healthy","26Apr2024",2345,30,"8_anemone-PVC-PP-26APR2024_O2",".csv",NA,0.00836146597269029,0.818
8,3,0.0228617834609166,0.944,0.00572269302153969,0.0171390904393769,0.0248765099814239,-0.00201472652050735,-0.0196525144835521,0.00480932584917207,"26Apr2024","PP(A)_4","PP_A_0.01_mgL",623,635,"complete","complete",1.1,"yes","bleached","26Apr2024",2345,30,"8_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
8,4,0.0112968099980569,0.96,0.00572269302153969,0.00557411697651722,0.0126786711484261,-0.00138186115036917,-0.0196525144835521,-0.00675564761368757,"26Apr2024","Control_4","Control",513,525,"complete","complete",1.05,"yes","healthy","26Apr2024",2345,30,"8_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
8,5,0.00557947261653342,0.894,0.00572269302153969,-0.000143220405006273,0.0113309499772094,-0.00575147736067601,-0.0196525144835521,-0.0124729849952111,NA,"blank","blank",NA,NA,NA,NA,NA,NA,NA,"26Apr2024",2345,30,"8_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
8,7,0.0134313864432479,0.965,0.00572269302153969,0.00770869342170816,0.0278149254237819,-0.014383538980534,-0.0196525144835521,-0.00462107116849663,"26Apr2024","PVC_14","PVC_1_mgL",199,211,"complete","complete",1.26,"yes","healthy","26Apr2024",2345,30,"8_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
9,1,0.0120389663382723,0.983,0.00728116228386296,0.00475780405440932,0.0119121020879171,0.000126864250355165,-0.0196525144835521,-0.0060134912734722,"26Apr2024","PP(A)_16","PP_A_10_mgL",834,846,"complete","complete",3.07,"yes","healthy","26Apr2024",115,30,"9_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
9,2,0.0117172541494348,0.908,0.00728116228386296,0.0044360918655718,0.0166314092897948,-0.00491415514036001,-0.0196525144835521,-0.00633520346230972,"26Apr2024","PVC_7","PVC_0.1_mgL",156,168,"complete","complete",2.44,"yes","healthy","26Apr2024",115,30,"9_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
9,3,0.0215025044947614,0.995,0.00728116228386296,0.0142213422108985,0.0248765099814239,-0.00337400548666249,-0.0196525144835521,0.00345004688301693,"26Apr2024","PVC_3","PVC_0.01_mgL",68,80,"complete","complete",0.81,"yes","healthy","26Apr2024",115,30,"9_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
9,4,0.0122292964641022,0.854,0.00728116228386296,0.00494813418023923,0.0126786711484261,-0.000449374684323893,-0.0196525144835521,-0.00582316114764229,NA,"blank","blank",NA,NA,NA,NA,NA,NA,NA,"26Apr2024",115,30,"9_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
9,5,0.0185318816873716,0.982,0.00728116228386296,0.0112507194035086,0.0113309499772094,0.00720093171016217,-0.0196525144835521,0.000479424075627125,"26Apr2024","PP(A)_6","PP_A_0.1_mgL",649,661,"complete","complete",1.1,"yes","healthy","26Apr2024",115,30,"9_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
9,7,0.00437363641528033,0.751,0.00728116228386296,-0.00290752586858263,0.0278149254237819,-0.0234412890085016,-0.0196525144835521,-0.0136788211964641,"26Apr2024","PP(A)_11","PP_A_1_mgL",732,744,"complete","complete",0.89,"yes","cleavage","26Apr2024",115,30,"9_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
10,1,0.0181331548940682,0.965,0.0288925461457969,-0.0107593912517287,0.0119121020879171,0.00622105280615111,-0.0196525144835521,8.06972823237384e-05,"26Apr2024","PVC_21","PVC_100_mgL",387,399,"complete","complete",0.61,"yes","stopped reading 2x partway though. started over immediately after, cleavage","26Apr2024",240,30,"10_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
10,2,0.029069148543689,0.984,0.0288925461457969,0.000176602397892051,0.0166314092897948,0.0124377392538942,-0.0196525144835521,0.0110166909319445,"26Apr2024","PP(A)_25","PP_A_100_mgL",967,979,"complete","complete",1.23,"yes","healthy","26Apr2024",240,30,"10_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
10,3,0.0315420554899021,0.984,0.0288925461457969,0.00264950934410517,0.0248765099814239,0.00666554550847821,-0.0196525144835521,0.0134895978781576,NA,"blank","blank",NA,NA,NA,NA,NA,NA,NA,"26Apr2024",240,30,"10_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
10,4,0.0270906077729266,0.985,0.0288925461457969,-0.00180193837287039,0.0126786711484261,0.0144119366245005,-0.0196525144835521,0.00903815016118208,"26Apr2024","PP(A)_1","PP_A_0.01_mgL",552,564,"complete","complete",0.97,"yes","healthy","26Apr2024",240,30,"10_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
10,5,0.0123732263812471,0.94,0.0288925461457969,-0.0165193197645498,0.0113309499772094,0.00104227640403769,-0.0196525144835521,-0.00567923123049736,"26Apr2024","PVC_19","PVC_10_mgL",267,279,"complete","complete",0.65,"yes","laceration","26Apr2024",240,30,"10_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
10,7,0.0176224369550721,0.983,0.0288925461457969,-0.0112701091907248,0.0278149254237819,-0.0101924884687098,-0.0196525144835521,-0.000430020656672348,"26Apr2024","PP(A)_14","PP_A_1_mgL",797,809,"complete","complete",1.67,"yes","healthy","26Apr2024",240,30,"10_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
11,1,0.000474852636513393,0.00613,0.00191952986285432,-0.00144467722634093,0.0119121020879171,-0.0114372494514037,-0.0196525144835521,-0.0175776049752311,"26Apr2024","Control_2","Control",487,499,"complete","complete",0.58,"yes","healthy","26Apr2024",413,38,"11_anemone-PVC-PP-26APR2024_O2",".csv",NA,0.00956256196030456,0.891
11,2,-0.0057028414315433,0.852,0.00191952986285432,-0.00762237129439762,0.0166314092897948,-0.0223342507213381,-0.0196525144835521,-0.0237552990432878,NA,"blank","blank",NA,NA,NA,NA,NA,NA,NA,"26Apr2024",413,38,"11_anemone-PVC-PP-26APR2024_O2",".csv",NA,0.0102394811115008,0.905
11,3,0.0189130370331112,0.873,0.00191952986285432,0.0169935071702569,0.0248765099814239,-0.00596347294831266,-0.0196525144835521,0.000860579421366768,"26Apr2024","PP(A)_23","PP_A_100_mgL",941,953,"complete","complete",1.01,"yes","healthy","26Apr2024",413,38,"11_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
11,4,0.0105443918878092,0.982,0.00191952986285432,0.00862486202495489,0.0126786711484261,-0.00213427926061687,-0.0196525144835521,-0.00750806572393527,"26Apr2024","PVC_5","PVC_0.01_mgL",400,412,"complete","complete",1.45,"yes","placement_issue, healthy","26Apr2024",413,38,"11_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
11,5,0.0208880115733493,0.985,0.00191952986285432,0.018968481710495,0.0113309499772094,0.00955706159613991,-0.0196525144835521,0.00283555396160487,"26Apr2024","PVC_11","PVC_1_mgL",444,456,"complete","complete",0.89,"yes","placement_issue , healthy","26Apr2024",413,38,"11_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
11,7,0.0153329363214922,0.929,0.00191952986285432,0.0134134064586378,0.0278149254237819,-0.0124819891022897,-0.0196525144835521,-0.00271952129025232,"26Apr2024","PVC_22","PVC_100_mgL",374,386,"complete","complete",0.33,"yes","cleavage","26Apr2024",413,38,"11_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
