"","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR","1:Fo'","1:ETR-F.","1:qP","1:qN","1:qL","1:NPQ","1:Y (NO)","1:Y (NPQ)","1:Fo","1:Fm","1:Fv/Fm","date","id","treatment","RLC_start","RLC_end","RLC","Respirometry","wet_weight_g","whole_anemone","Fv_Fm","note"
"11","24-05-26",10:38:49,"F",61,"199",243,192,0.181,14.6,125,0.84,0.373,0.119,0.234,-0.058,0.869,-0.05,95,229,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","24-05-26",10:39:09,"F",62,"212",247,288,0.142,17.2,125,0.84,0.287,0.09,0.169,-0.073,0.926,-0.068,95,229,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","24-05-26",10:39:29,"F",63,"225",251,424,0.104,18.5,128,0.84,0.211,0.082,0.12,-0.088,0.983,-0.087,95,229,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","24-05-26",10:39:49,"F",64,"231",249,635,0.072,19.2,125,0.84,0.145,0.075,0.078,-0.08,1.009,-0.081,95,229,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","24-05-26",10:40:09,"F",65,"228",244,830,0.066,23,125,0.84,0.134,0.112,0.073,-0.061,0.996,-0.062,95,229,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","24-05-26",10:40:29,"F",66,"232",245,1161,0.053,25.8,125,0.84,0.108,0.104,0.058,-0.065,1.013,-0.066,95,229,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","24-05-26",10:40:49,"F",67,"236",247,1514,0.045,28.6,125,0.84,0.09,0.09,0.048,-0.073,1.031,-0.076,95,229,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","24-05-26",10:40:57,"SLCE",NA,"Light Curve end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","24-05-26",10:44:29,"SLCS",NA,"Light Curve start",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","24-05-26",10:44:29,"REG1",NA,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.007, ETRmPot: 25.025 )   (Platt et al. 1980)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","24-05-26",10:44:29,"REG2",NA,"#1: alpha: 0.131, ETRm: 32.963, Ik: 251.917   (Jassby and Platt 1976)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","24-05-26",10:44:31,"FO",68,"35",66,0,0.47,0,0,0.84,0,0,0,0,0,0,35,66,0.47,"26Apr2024","PVC_3","PVC_0.01_mgL",68,80,"complete","complete",0.81,"yes",0.47,"healthy"
"23","24-05-26",10:44:51,"F",69,"47",75,25,0.373,3.9,37,0.84,0.737,-0.226,0.58,-0.12,0.712,-0.085,35,66,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","24-05-26",10:45:11,"F",70,"45",70,45,0.357,6.7,38,0.84,0.781,-0.032,0.66,-0.057,0.682,-0.039,35,66,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","24-05-26",10:45:31,"F",71,"45",69,66,0.348,9.6,38,0.84,0.774,0,0.654,-0.043,0.682,-0.03,35,66,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","24-05-26",10:45:51,"F",72,"46",69,91,0.333,12.7,36,0.84,0.697,-0.065,0.545,-0.043,0.697,-0.03,35,66,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","24-05-26",10:46:11,"F",73,"46",69,127,0.333,17.8,37,0.84,0.719,-0.032,0.578,-0.043,0.697,-0.03,35,66,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","24-05-26",10:46:31,"F",74,"49",64,192,0.234,18.9,37,0.84,0.556,0.129,0.42,0.031,0.742,0.024,35,66,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","24-05-26",10:46:51,"F",75,"48",59,288,0.186,22.5,38,0.84,0.524,0.323,0.415,0.119,0.727,0.087,35,66,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","24-05-26",10:47:11,"F",76,"48",60,424,0.2,35.6,36,0.84,0.5,0.226,0.375,0.1,0.727,0.073,35,66,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","24-05-26",10:47:30,"F",77,"50",56,635,0.107,28.5,39,0.84,0.353,0.452,0.275,0.179,0.758,0.135,35,66,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","24-05-26",10:47:50,"F",78,"52",58,830,0.103,35.9,39,0.84,0.316,0.387,0.237,0.138,0.788,0.109,35,66,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24-05-26",10:48:10,"F",79,"54",56,1161,0.036,17.6,37,0.84,0.105,0.387,0.072,0.179,0.818,0.146,35,66,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","24-05-26",10:48:30,"F",80,"49",53,1513,0.075,47.7,37,0.84,0.25,0.484,0.189,0.245,0.742,0.183,35,66,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","24-05-26",10:48:38,"SLCE",NA,"Light Curve end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","24-05-26",10:50:12,"SLCS",NA,"Light Curve start",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","24-05-26",10:50:12,"REG1",NA,"#1: alpha: 0.090, ETRm: 31.504, Ik: 349.582   ( beta: 0.560, ETRmPot: 573.965 )   (Platt et al. 1980)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","24-05-26",10:50:12,"REG2",NA,"#1: alpha: 0.082, ETRm: 30.154, Ik: 369.684   (Jassby and Platt 1976)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","24-05-26",10:50:13,"FO",81,"82",132,0,0.379,0,0,0.84,0,0,0,0,0,0,82,132,0.379,"26Apr2024","PVC_2","PVC_0.01_mgL",81,93,"complete","complete",1.56,"yes",0.379,"healthy"
"40","24-05-26",10:50:33,"F",82,"98",129,25,0.24,2.5,87,0.84,0.738,0.16,0.655,0.023,0.742,0.018,82,132,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","24-05-26",10:50:53,"F",83,"97",129,45,0.248,4.7,87,0.84,0.762,0.16,0.683,0.023,0.735,0.017,82,132,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","24-05-26",10:51:13,"F",84,"99",129,66,0.233,6.5,87,0.84,0.714,0.16,0.627,0.023,0.75,0.017,82,132,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","24-05-26",10:51:33,"F",85,"105",133,91,0.211,8.1,88,0.84,0.622,0.1,0.521,-0.008,0.795,-0.006,82,132,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","24-05-26",10:51:53,"F",86,"109",138,127,0.21,11.2,91,0.84,0.617,0.06,0.515,-0.043,0.826,-0.036,82,132,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","24-05-26",10:52:13,"F",87,"116",145,192,0.2,16.1,98,0.84,0.617,0.06,0.521,-0.09,0.879,-0.079,82,132,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","24-05-26",10:52:33,"F",88,"135",159,288,0.151,18.3,102,0.84,0.421,-0.14,0.318,-0.17,1.023,-0.174,82,132,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","24-05-26",10:52:53,"F",89,"133",152,424,0.125,22.3,98,0.84,0.352,-0.08,0.259,-0.132,1.008,-0.133,82,132,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","24-05-26",10:53:13,"F",90,"132",148,635,0.108,28.8,95,0.84,0.302,-0.06,0.217,-0.108,1,-0.108,82,132,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","24-05-26",10:53:33,"F",91,"124",133,829,0.068,23.7,84,0.84,0.184,0.02,0.125,-0.008,0.939,-0.007,82,132,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","24-05-26",10:53:53,"F",92,"121",134,1160,0.097,47.3,92,0.84,0.31,0.16,0.236,-0.015,0.917,-0.014,82,132,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","24-05-26",10:54:13,"F",93,"131",135,1513,0.03,19.1,95,0.84,0.1,0.2,0.073,-0.022,0.992,-0.022,82,132,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","24-05-26",10:54:22,"SLCE",NA,"Light Curve end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","24-05-26",10:56:25,"SLCS",NA,"Light Curve start",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","24-05-26",10:56:25,"REG1",NA,"#1: alpha: 0.138, ETRm: 34.232, Ik: 247.888   ( beta: 0.268, ETRmPot: 225.725 )   (Platt et al. 1980)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","24-05-26",10:56:25,"REG2",NA,"#1: alpha: 0.133, ETRm: 30.126, Ik: 226.202   (Jassby and Platt 1976)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","24-05-26",10:56:27,"FO",94,"93",186,0,0.5,0,0,0.84,0,0,0,0,0,0,93,186,0.5,"26Apr2024","PVC_1","PVC_0.01_mgL",94,106,"complete","complete",1.09,"yes",0.5,"healthy"
"57","24-05-26",10:56:47,"F",95,"105",160,25,0.344,3.6,90,0.84,0.786,0.247,0.674,0.163,0.565,0.091,93,186,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","24-05-26",10:57:07,"F",96,"103",153,45,0.327,6.2,90,0.84,0.794,0.323,0.694,0.216,0.554,0.119,93,186,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","24-05-26",10:57:27,"F",97,"109",156,66,0.301,8.3,93,0.84,0.746,0.323,0.636,0.192,0.586,0.113,93,186,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","24-05-26",10:57:47,"F",98,"111",153,91,0.275,10.5,87,0.84,0.636,0.29,0.498,0.216,0.597,0.128,93,186,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","24-05-26",10:58:07,"F",99,"106",145,127,0.269,14.3,88,0.84,0.684,0.387,0.568,0.283,0.57,0.161,93,186,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","24-05-26",10:58:27,"F",100,"114",149,192,0.235,19,89,0.84,0.583,0.355,0.455,0.248,0.613,0.152,93,186,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","24-05-26",10:58:47,"F",101,"121",161,288,0.248,30,100,0.84,0.656,0.344,0.542,0.155,0.651,0.101,93,186,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","24-05-26",10:59:07,"F",102,"151",180,424,0.161,28.7,110,0.84,0.414,0.247,0.302,0.033,0.812,0.027,93,186,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","24-05-26",10:59:27,"F",103,"161",182,635,0.115,30.7,113,0.84,0.304,0.258,0.213,0.022,0.866,0.019,93,186,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","24-05-26",10:59:47,"F",104,"181",203,829,0.108,37.6,129,0.84,0.297,0.204,0.212,-0.084,0.973,-0.081,93,186,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","24-05-26",11:00:07,"F",105,"227",241,1160,0.058,28.3,147,0.84,0.149,-0.011,0.096,-0.228,1.22,-0.278,93,186,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","24-05-26",11:00:27,"F",106,"218",226,1513,0.035,22.2,125,0.84,0.079,-0.086,0.045,-0.177,1.172,-0.207,93,186,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","24-05-26",11:00:35,"SLCE",NA,"Light Curve end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","24-05-26",11:00:52,"SLCS",NA,"Light Curve start",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","24-05-26",11:00:54,"FO",107,"0",0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","24-05-26",11:01:14,"F",108,"0",0,25,0,0,0,0.84,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","24-05-26",11:01:34,"F",109,"0",0,45,0,0,0,0.84,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","24-05-26",11:01:42,"SLCE",NA,"Light Curve end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","24-05-26",11:02:55,"SLCS",NA,"Light Curve start",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","24-05-26",11:02:55,"REG1",NA,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.021, ETRmPot: 2.589 )   (Platt et al. 1980)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","24-05-26",11:02:55,"REG2",NA,"#1: alpha: 0.064, ETRm: 313.774, Ik: 4907.493   (Jassby and Platt 1976)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","24-05-26",11:02:56,"FO",110,"69",116,0,0.405,0,0,0.84,0,0,0,0,0,0,69,116,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","24-05-26",11:03:16,"F",111,"85",117,25,0.274,2.9,65,0.84,0.615,-0.106,0.47,-0.009,0.733,-0.007,69,116,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","24-05-26",11:03:36,"F",112,"96",129,45,0.256,4.8,78,0.84,0.647,-0.085,0.526,-0.101,0.828,-0.084,69,116,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","24-05-26",11:03:56,"F",113,"125",158,66,0.209,5.8,101,0.84,0.579,-0.213,0.468,-0.266,1.078,-0.287,69,116,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","24-05-26",11:04:16,"F",114,"121",142,91,0.148,5.7,95,0.84,0.447,0,0.351,-0.183,1.043,-0.191,69,116,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","24-05-26",11:04:36,"F",115,"105",115,127,0.087,4.6,69,0.84,0.217,0.021,0.143,0.009,0.905,0.008,69,116,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","24-05-26",11:04:56,"F",116,"70",84,192,0.167,13.5,54,0.84,0.467,0.362,0.36,0.381,0.603,0.23,69,116,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","24-05-26",11:05:16,"SLCE",NA,"Light Curve end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","24-05-26",11:07:02,"SLCS",NA,"Light Curve start",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","24-05-26",11:07:02,"REG1",NA,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.007, ETRmPot: 10.422 )   (Platt et al. 1980)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","24-05-26",11:07:02,"REG2",NA,"#1: alpha: 0.055, ETRm: 21.539, Ik: 391.944   (Jassby and Platt 1976)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","24-05-26",11:07:03,"FO",117,"170",364,0,0.533,0,0,0.84,0,0,0,0,0,0,170,364,0.533,"26Apr2024","PVC_10","PVC_0.1_mgL",117,129,"complete","complete",1.31,"yes",0.533,"healthy"
"90","24-05-26",11:07:23,"F",118,"261",385,25,0.322,3.4,190,0.84,0.636,-0.005,0.463,-0.055,0.717,-0.039,170,364,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","24-05-26",11:07:43,"F",119,"233",329,45,0.292,5.5,176,0.84,0.627,0.211,0.474,0.106,0.64,0.068,170,364,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","24-05-26",11:08:03,"F",120,"241",381,66,0.367,10.2,211,0.84,0.824,0.124,0.721,-0.045,0.662,-0.029,170,364,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","24-05-26",11:08:23,"F",121,"318",395,91,0.195,7.5,222,0.84,0.445,0.108,0.311,-0.078,0.874,-0.069,170,364,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","24-05-26",11:08:43,"F",122,"333",399,127,0.165,8.8,218,0.84,0.365,0.067,0.239,-0.088,0.915,-0.08,170,364,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","24-05-26",11:09:03,"F",123,"330",377,192,0.125,10.1,213,0.84,0.287,0.155,0.185,-0.034,0.907,-0.032,170,364,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","24-05-26",11:09:23,"F",124,"293",330,288,0.112,13.5,188,0.84,0.261,0.268,0.167,0.103,0.805,0.083,170,364,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","24-05-26",11:09:43,"F",125,"247",269,424,0.082,14.6,158,0.84,0.198,0.428,0.127,0.353,0.679,0.239,170,364,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","24-05-26",11:10:03,"F",126,"235",246,635,0.045,12,142,0.84,0.106,0.464,0.064,0.48,0.646,0.309,170,364,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","24-05-26",11:10:23,"F",127,"261",277,829,0.058,20.2,152,0.84,0.128,0.356,0.075,0.314,0.717,0.225,170,364,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","24-05-26",11:10:43,"F",128,"253",266,1161,0.049,23.9,132,0.84,0.097,0.309,0.051,0.368,0.695,0.256,170,364,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","24-05-26",11:11:03,"F",129,"212",221,1513,0.041,26.1,125,0.84,0.094,0.505,0.055,0.647,0.582,0.377,170,364,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","24-05-26",11:11:11,"SLCE",NA,"Light Curve end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","24-05-26",11:12:53,"SLCS",NA,"Light Curve start",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","24-05-26",11:12:53,"REG1",NA,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.069, ETRmPot: - 12.351 )   (Platt et al. 1980)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","24-05-26",11:12:53,"REG2",NA,"#1: alpha: 0.047, ETRm: 14.911, Ik: 317.300   (Jassby and Platt 1976)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","24-05-26",11:12:55,"FO",130,"201",331,0,0.393,0,0,0.84,0,0,0,0,0,0,201,331,0.393,"26Apr2024","PVC_9","PVC_0.1_mgL",130,142,"complete","complete",2.11,"yes",0.393,"healthy"
"107","24-05-26",11:13:15,"F",131,"279",366,25,0.238,2.5,229,0.84,0.635,-0.054,0.521,-0.096,0.843,-0.081,201,331,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","24-05-26",11:13:35,"F",132,"277",353,45,0.215,4.1,222,0.84,0.58,-0.008,0.465,-0.062,0.837,-0.052,201,331,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","24-05-26",11:13:55,"F",133,"280",351,66,0.202,5.6,229,0.84,0.582,0.062,0.476,-0.057,0.846,-0.048,201,331,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","24-05-26",11:14:15,"F",134,"323",381,91,0.152,5.8,249,0.84,0.439,-0.015,0.338,-0.131,0.976,-0.128,201,331,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","24-05-26",11:14:35,"F",135,"326",371,127,0.121,6.5,243,0.84,0.352,0.015,0.262,-0.108,0.985,-0.106,201,331,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","24-05-26",11:14:55,"F",136,"341",376,192,0.093,7.5,227,0.84,0.235,-0.146,0.156,-0.12,1.03,-0.123,201,331,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","24-05-26",11:15:15,"F",137,"292",317,288,0.079,9.6,204,0.84,0.221,0.131,0.154,0.044,0.882,0.039,201,331,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","24-05-26",11:15:35,"F",138,"278",295,424,0.058,10.3,193,0.84,0.167,0.215,0.116,0.122,0.84,0.102,201,331,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","24-05-26",11:15:55,"F",139,"281",296,635,0.051,13.6,194,0.84,0.147,0.215,0.101,0.118,0.849,0.1,201,331,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","24-05-26",11:16:15,"F",140,"279",293,829,0.048,16.7,195,0.84,0.143,0.246,0.1,0.13,0.843,0.109,201,331,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","24-05-26",11:16:35,"F",141,"279",288,1160,0.031,15.1,189,0.84,0.091,0.238,0.062,0.149,0.843,0.126,201,331,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","24-05-26",11:16:55,"F",142,"284",291,1513,0.024,15.3,180,0.84,0.063,0.146,0.04,0.137,0.858,0.118,201,331,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","24-05-26",11:17:03,"SLCE",NA,"Light Curve end",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","24-05-26",11:18:33,"SLCS",NA,"Light Curve start",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
